group,attribute,value,pct
person,age,0-16 years old,19.52
person,age,16-24 years old,11.7
person,age,25-34 years old,13.57
person,age,35-44 years old,13.23
person,age,45-54 years old,12.24
person,age,55-64 years old,12.89
person,age,65+ years old,16.85
person,race,white,60.9
person,race,black,13.29
person,race,asian,6.97
person,race,hispanic,18.84
person,gender,female,50.48
person,gender,male,49.52
accountant,age,0-16 years old,0.0
accountant,age,16-24 years old,5.1
accountant,age,25-34 years old,20.41
accountant,age,35-44 years old,19.57
accountant,age,45-54 years old,19.17
accountant,age,55-64 years old,21.16
accountant,age,65+ years old,14.59
accountant,race,white,71.24
accountant,race,black,8.07
accountant,race,asian,10.27
accountant,race,hispanic,10.42
accountant,gender,female,61.41
accountant,gender,male,38.59
administrative manager,age,0-16 years old,0.0
administrative manager,age,16-24 years old,6.83
administrative manager,age,25-34 years old,20.76
administrative manager,age,35-44 years old,23.43
administrative manager,age,45-54 years old,21.6
administrative manager,age,55-64 years old,18.29
administrative manager,age,65+ years old,9.1
administrative manager,race,white,64.57
administrative manager,race,black,14.07
administrative manager,race,asian,6.39
administrative manager,race,hispanic,14.98
administrative manager,gender,female,62.75
administrative manager,gender,male,37.25
air traffic controller,age,0-16 years old,0.0
air traffic controller,age,16-24 years old,7.87
air traffic controller,age,25-34 years old,29.59
air traffic controller,age,35-44 years old,27.59
air traffic controller,age,45-54 years old,14.66
air traffic controller,age,55-64 years old,14.69
air traffic controller,age,65+ years old,5.6
air traffic controller,race,white,67.85
air traffic controller,race,black,8.48
air traffic controller,race,asian,8.49
air traffic controller,race,hispanic,15.18
air traffic controller,gender,female,20.01
air traffic controller,gender,male,79.99
animal caretaker,age,0-16 years old,0.0
animal caretaker,age,16-24 years old,30.99
animal caretaker,age,25-34 years old,27.67
animal caretaker,age,35-44 years old,14.79
animal caretaker,age,45-54 years old,11.3
animal caretaker,age,55-64 years old,9.57
animal caretaker,age,65+ years old,5.68
animal caretaker,race,white,76.62
animal caretaker,race,black,6.41
animal caretaker,race,asian,3.17
animal caretaker,race,hispanic,13.8
animal caretaker,gender,female,74.96
animal caretaker,gender,male,25.04
artist,age,0-16 years old,0.0
artist,age,16-24 years old,9.29
artist,age,25-34 years old,23.13
artist,age,35-44 years old,20.9
artist,age,45-54 years old,15.64
artist,age,55-64 years old,14.69
artist,age,65+ years old,16.36
artist,race,white,67.43
artist,race,black,9.8
artist,race,asian,7.43
artist,race,hispanic,15.34
artist,gender,female,47.7
artist,gender,male,52.3
athlete,age,0-16 years old,0.0
athlete,age,16-24 years old,38.45
athlete,age,25-34 years old,21.23
athlete,age,35-44 years old,14.49
athlete,age,45-54 years old,9.2
athlete,age,55-64 years old,9.18
athlete,age,65+ years old,7.46
athlete,race,white,74.19
athlete,race,black,9.92
athlete,race,asian,4.74
athlete,race,hispanic,11.15
athlete,gender,female,41.77
athlete,gender,male,58.23
attendant,age,0-16 years old,0.0
attendant,age,16-24 years old,37.18
attendant,age,25-34 years old,17.54
attendant,age,35-44 years old,9.93
attendant,age,45-54 years old,9.79
attendant,age,55-64 years old,12.62
attendant,age,65+ years old,12.95
attendant,race,white,67.05
attendant,race,black,11.74
attendant,race,asian,6.48
attendant,race,hispanic,14.73
attendant,gender,female,47.76
